id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,city
o,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-al-grunwaldzka-2-pokojowe-e8e3w2,ponad tydzień temu,7,Gdańsk Wrzeszcz,al. Grunwaldzka,Apartment,2,40,Oferta biura nieruchomości,499000,12475,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-wojciecha-kiedrowskiego-2-pokojowe-u0f4j2,ponad tydzień temu,20,Gdańsk Łostowice,ul. Wojciecha Kiedrowskiego,Apartment,2,57,Oferta biura nieruchomości,690989,12101,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-dabrowa-ul-szafranowa-3-pokojowe-y3h5q4,6 dni temu,8,Gdynia Dąbrowa,ul. Szafranowa,Apartment,3,60,Bez pośredników,669000,11143,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdynia-dabrowa-ul-sojowa-2-pokojowe-u6l6n3,ponad tydzień temu,12,Gdynia Dąbrowa,ul. Sojowa,Apartment,2,35,Bez pośredników,410000,11884,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-artura-grottgera-3-pokojowe-g4n9o7,ponad tydzień temu,18,Gdańsk Oliwa,ul. Artura Grottgera,Apartment,3,67,Bez pośredników,1579000,23567,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-wojciecha-kiedrowskiego-4-pokojowe-l8q2y8,ponad tydzień temu,20,Gdańsk Łostowice,ul. Wojciecha Kiedrowskiego,Apartment,4,79,Oferta biura nieruchomości,873632,11098,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-orlowo-ul-wroclawska-6-pokojowe-q5h1h3,ponad tydzień temu,5,Gdynia Orłowo,ul. Wrocławska,Apartment,6,120,Oferta biura nieruchomości,2500000,20833,Gdynia
o,https://adresowo.pl/o/mieszkanie-sopot-brodwino-ul-wladyslawa-cieszynskiego-2-pokojowe-x1r0c5,ponad tydzień temu,17,Sopot Brodwino,ul. Władysława Cieszyńskiego,Apartment,2,41,Bez pośredników,640000,15610,Sopot
o,https://adresowo.pl/o/mieszkanie-gdansk-zaspa-ul-stefana-drzewieckiego-3-pokojowe-a1e4a6,ponad tydzień temu,11,Gdańsk Zaspa,ul. Stefana Drzewieckiego,Apartment,3,59,Bez pośredników,750000,12712,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-ul-niepolomicka-2-pokojowe-k9x3a1,ponad tydzień temu,14,Gdańsk,ul. Niepołomicka,Apartment,2,52,Bez pośredników,779000,14981,Gdańsk
