url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,city,price_total_zl_cleaned,price_per_m2_zl_cleaned,area_per_room
https://adresowo.pl/o/mieszkanie-gdynia-chylonia-ul-ludwika-zamenhofa-1-pokoj-m0e1p8,6 dni temu,6.0,Gdynia Chylonia,ul. Ludwika Zamenhofa,Apartment,1.0,26.0,Bez pośredników,275000,10577.0,Gdynia,275000.0,10577.0,26.0
https://adresowo.pl/o/mieszkanie-gdansk-przymorze-2-pokojowe-47-m2-j0t1r9,ponad tydzień temu,25.0,Gdańsk Przymorze,,Apartment,2.0,48.0,Oferta biura nieruchomości,980000,20588.0,Gdańsk,980000.0,20588.0,24.0
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-szafarnia-4-pokojowe-x4a0l1,ponad tydzień temu,13.0,Gdańsk Śródmieście,ul. Szafarnia,Apartment,4.0,96.0,Oferta biura nieruchomości,1999000,20780.0,Gdańsk,1999000.0,20780.0,24.0
https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-piotrkowska-3-pokojowe-l0o5d1,6 dni temu,8.0,Gdańsk Ujeścisko,ul. Piotrkowska,Apartment,3.0,66.0,Bez pośredników,750000,11364.0,Gdańsk,750000.0,11364.0,22.0
https://adresowo.pl/o/mieszkanie-gdynia-chylonia-ul-chylonska-3-pokojowe-u1z4r5,6 dni temu,16.0,Gdynia Chylonia,ul. Chylońska,Apartment,3.0,53.0,Bez pośredników,515000,9717.0,Gdynia,515000.0,9717.0,17.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-sucha-1-pokoj-l3k3n3,ponad tydzień temu,9.0,Gdańsk Letnica,ul. Sucha,Apartment,1.0,32.0,Oferta biura nieruchomości,629000,19892.0,Gdańsk,629000.0,19892.0,32.0
https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-walowa-1-pokoj-w8t5d9,ponad tydzień temu,16.0,Gdańsk Śródmieście,ul. Wałowa,Apartment,1.0,29.0,Oferta biura nieruchomości,618000,21563.0,Gdańsk,618000.0,21563.0,29.0
https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-olsztynska-3-pokojowe-e0f4g2,6 dni temu,17.0,Gdańsk Przymorze,ul. Olsztyńska,Apartment,3.0,70.0,Bez pośredników,1260000,17974.0,Gdańsk,1260000.0,17974.0,23.333333333333332
https://adresowo.pl/o/mieszkanie-gdynia-leszczynki-ul-kalksztajnow-4-pokojowe-r9t7s3,6 dni temu,12.0,Gdynia Leszczynki,ul. Kalksztajnów,Apartment,4.0,81.0,Bez pośredników,1055000,13041.0,Gdynia,1055000.0,13041.0,20.25
https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-obodrzycow-5-pokojowe-m7m7x7,ponad tydzień temu,8.0,Sopot Kamienny Potok,ul. Obodrzyców,Apartment,5.0,145.0,Oferta biura nieruchomości,1349000,9303.0,Sopot,1349000.0,9303.0,29.0
https://adresowo.pl/o/mieszkanie-gdansk-przymorze-2-pokojowe-38-m2-o4k4e9,ponad tydzień temu,10.0,Gdańsk Przymorze,,Apartment,2.0,38.0,Oferta biura nieruchomości,645000,16974.0,Gdańsk,645000.0,16974.0,19.0
https://adresowo.pl/o/mieszkanie-gdynia-srodmiescie-ul-zielona-laguna-5-pokojowe-q5x8d5,6 dni temu,18.0,Gdynia Śródmieście,ul. Zielona Laguna,Apartment,5.0,152.0,Bez pośredników,1570000,10329.0,Gdynia,1570000.0,10329.0,30.4
https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-niepolomicka-3-pokojowe-x4p6b9,6 dni temu,10.0,Gdańsk Ujeścisko,ul. Niepołomicka,Apartment,3.0,50.0,Bez pośredników,650000,13092.0,Gdańsk,650000.0,13092.0,16.666666666666668
https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-al-grunwaldzka-2-pokojowe-e8e3w2,ponad tydzień temu,7.0,Gdańsk Wrzeszcz,al. Grunwaldzka,Apartment,2.0,40.0,Oferta biura nieruchomości,499000,12475.0,Gdańsk,499000.0,12475.0,20.0
https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-wojciecha-kiedrowskiego-2-pokojowe-u0f4j2,ponad tydzień temu,20.0,Gdańsk Łostowice,ul. Wojciecha Kiedrowskiego,Apartment,2.0,57.0,Oferta biura nieruchomości,690989,12101.0,Gdańsk,690989.0,12101.0,28.5
https://adresowo.pl/o/mieszkanie-gdynia-dabrowa-ul-szafranowa-3-pokojowe-y3h5q4,6 dni temu,8.0,Gdynia Dąbrowa,ul. Szafranowa,Apartment,3.0,60.0,Bez pośredników,669000,11143.0,Gdynia,669000.0,11143.0,20.0
https://adresowo.pl/o/mieszkanie-gdynia-dabrowa-ul-sojowa-2-pokojowe-u6l6n3,ponad tydzień temu,12.0,Gdynia Dąbrowa,ul. Sojowa,Apartment,2.0,35.0,Bez pośredników,410000,11884.0,Gdynia,410000.0,11884.0,17.5
https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-artura-grottgera-3-pokojowe-g4n9o7,ponad tydzień temu,18.0,Gdańsk Oliwa,ul. Artura Grottgera,Apartment,3.0,67.0,Bez pośredników,1579000,23567.0,Gdańsk,1579000.0,23567.0,22.333333333333332
https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-wojciecha-kiedrowskiego-4-pokojowe-l8q2y8,ponad tydzień temu,20.0,Gdańsk Łostowice,ul. Wojciecha Kiedrowskiego,Apartment,4.0,79.0,Oferta biura nieruchomości,873632,11098.0,Gdańsk,873632.0,11098.0,19.75
